"Capwaktu","Usia","KategoriKunjungan","JenisWisata","NamaWisata","Budget","AkomodasiPenginapan","Transportasi","TingkatKepuasanPengunjung","DeskripsiSingkatPengalaman"
"2022/11/14 1:28:32 PM GMT+7","Remaja","Komunitas","Wisata Alam","18. Aek Sijorni Tapanuli Selatan","Low","Villa","Bus","Memuaskan","Lokasi yang menyejukan, fasilitas yang ada juga memadai"
"2022/11/14 2:44:27 PM GMT+7","Dewasa","Komunitas","Wisata Alam","22. Pemandian Bah Damanik","Low","Tidak Menginap","Motor","Sangat baik","Perjalanan menuju wisata sangat jauh dan jalan yg kurang bagus menuju lokasi wisata"
"2022/11/14 2:46:35 PM GMT+7","Remaja","Keluarga","Wisata Alam","3. Danau Toba","High","Hotel","Mobil","Sangat baik","pengalaman yang baik, daerah danau toba yang Saya kunjungi tidak buruk"
"2022/11/14 2:59:57 PM GMT+7","Dewasa","Tunggal","Wisata Alam","1. Air Terjun Ponot Kisaran","High","Hotel","Mobil","Sangat baik","Menarik sekali"
"2022/11/14 3:25:06 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Low","Villa","Mobil","Sangat baik","Keindahan wisatanta gacukup hanya dinikmati sekali dan banyak tempat penginapan yang tersedia"
"2022/11/14 3:31:17 PM GMT+7","Dewasa","Keluarga","Wisata Alam","16. Pusuk Buhit Samosir","Medium","Tenda","Mobil","Memuaskan","Pusuk Buhit mempunyai keindahan alam yang masih alami, hanya saja memiliki akses jalan yang sangat terjal. Untuk sampai ke titik akhir Pusuk Buhit kita harus melanjutkan perjalanan dengan berjalan kaki. Jalur pendakian memang lah buruk, namun semuanya itu akan terbayarkan dengan pemandangan yang sangat indah di Pusuk Buhit :) "
"2022/11/14 4:04:37 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Medium","Tidak Menginap","Mobil","Memuaskan","Tenpat sangat bagus dan jalur yang di lalui juga sudah sangat baik"
"2022/11/14 4:05:54 PM GMT+7","Remaja","Tunggal","Wisata Kuliner","12. Roti Ganda Siantar","Low","Tidak Menginap","Motor","Memuaskan","Kunjungan ke bolu Meranti dari rumah jauh tetapi dengan rasa dan kualitas dari kue tersebut membuat lebih baik."
"2022/11/14 5:23:06 PM GMT+7","Dewasa","Berdua","Wisata Alam","14. Bukit Sibea bea","Low","Hotel","Motor","Memuaskan","Indah"
"2022/11/14 5:23:23 PM GMT+7","Dewasa","Keluarga","Wisata Religi","2. Taman Wisata Iman Sidikalang","Low","Tidak Menginap","Motor","Memuaskan","Keliling area TWI, dan tidak lupa untuk mengambil dokumentasi. Fasilitas sudah semakin banyak,dan tempatnya nyaman dan bersih."
"2022/11/14 5:26:39 PM GMT+7","Remaja","Keluarga","Wisata Alam","3. Danau Toba","Medium","Hotel","Mobil","Memuaskan","Sangat seru"
"2022/11/14 5:29:23 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","High","Villa","Mobil","Cukup","Keren"
"2022/11/14 5:30:55 PM GMT+7","Remaja","Keluarga","Wisata Alam","4. Mickey Holiday","Low","Tidak Menginap","Mobil","Luar biasa","Tempat wisata yg saya kunjungi lumayan bnyak wahana yg bisa dinikmati bersama keluarga... "
"2022/11/14 5:39:20 PM GMT+7","Dewasa","Komunitas","Wisata Alam","18. Aek Sijorni Tapanuli Selatan","Low","Hotel","Mobil","Memuaskan","Sangat amat menyenangkan"
"2022/11/14 5:46:23 PM GMT+7","Dewasa","Komunitas","Wisata Alam","3. Danau Toba","Low","Tidak Menginap","Mobil","Memuaskan","Keren..."
"2022/11/14 5:50:19 PM GMT+7","Dewasa","Keluarga","Wisata Alam","2. Taman Wisata Iman Sidikalang","Low","Tidak Menginap","Mobil","Memuaskan","Fasilitas yang disediakan di taman wisata iman sidikkalang sangat worth it dengan pengeluaran kami "
"2022/11/14 5:59:09 PM GMT+7","Dewasa","Keluarga","Wisata Religi","2. Taman Wisata Iman Sidikalang","Low","Tidak Menginap","Motor","Sangat baik","Bersih"
"2022/11/14 6:48:56 PM GMT+7","Remaja","Tunggal","Wisata Alam","1. Air Terjun Ponot Kisaran","High","Hotel","Mobil","Memuaskan","Bagus lah buat liburan apa lagi bareng pacar"
"2022/11/14 7:56:26 PM GMT+7","Dewasa","Keluarga","Wisata Alam","3. Danau Toba","Low","Tidak Menginap","Mobil","Luar biasa","Pemandangan yang ada di danau toba sangat indah dan tidak bosan untuk dipandang "
"2022/11/14 8:00:30 PM GMT+7","Remaja","Komunitas","Wisata Alam","3. Danau Toba","Medium","Tenda","Mobil","Sangat baik","Liburan itu sangat menyenangkan dan danaunya sangat indah"
